Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
org.familysearch.mobile,,,en,barbet,2023-01-24T17:17:00Z,1674580620728,2023-01-24T17:17:00Z,1674580620728,5,,"Ok... Just sayin.... Not dating app for Texans! Stick with goat love, sister wives, and dna checker!",,,,http://play.google.com/console/developers/8264880723452882397/app/4972259123017277510/user-feedback/review-details?reviewId=9ec40007-1f2b-4474-b3bf-3c385b2fe783&corpus=PUBLIC_REVIEWS
org.familysearch.mobile,41064.0,4.6.7,en,dandelion,2023-05-14T17:54:49Z,1684086889096,2023-05-14T17:54:49Z,1684086889096,3,,I believe that the app should make sm option for providing half siblings,,,,http://play.google.com/console/developers/8264880723452882397/app/4972259123017277510/user-feedback/review-details?reviewId=28a2a5ef-4925-47b3-a304-d5cf4d296931&corpus=PUBLIC_REVIEWS
org.familysearch.mobile,41064.0,4.6.7,en,dm1q,2023-06-14T10:04:47Z,1686737087199,2023-06-14T10:04:47Z,1686737087199,4,,"Great for a quick look. Wow, I turned on ""see relatives nearby"" while at church and found out a lot are 3rd or4th cousins.",,,,http://play.google.com/console/developers/8264880723452882397/app/4972259123017277510/user-feedback/review-details?reviewId=ea26babf-8616-44f9-ad67-7ad4b64cc33d&corpus=PUBLIC_REVIEWS
org.familysearch.mobile,41531.0,4.7.8,es,oriole,2022-09-02T01:31:50Z,1662082310826,2023-11-18T21:02:25Z,1700341345718,4,,Love it! But please address these 3 issues: 1. Suggest the spouse's immediate family members when attaching people from records! They're often present in baptism records where both sets of grandparents are named and a sibling of one of the spouses is often a godparent. 2. Allow attaching a source from the source box. 3. There's a bug where when you create a child from a record for some reason it only gets attached to one parent instead of both parents even if both parents are attached already.,2023-11-30T19:58:22Z,1701374302121.0,Thank you for your review. We're always looking for ways to improve the app and would appreciate hearing how you think we can make it better. Please send your suggestions in the app by going to Help | Contact Us | Give App Feedback.,http://play.google.com/console/developers/8264880723452882397/app/4972259123017277510/user-feedback/review-details?reviewId=bb845818-ef3d-4168-ba38-d5b289b0592a&corpus=PUBLIC_REVIEWS
org.familysearch.mobile,,,en,gtelwifiue,2024-01-12T10:47:37Z,1705056457989,2024-01-12T10:47:37Z,1705056457989,4,,"I would say that the website works well without using space on your device, but I know that there are features to the app that I do not often use. I am plannijng on using the Roots Tech stuff this year when they do the big convention, so I will edit then. I have been impressed by the service of family search. It is free, and full of so many unique records and information. The way they link your cousins, and list them, in the Roots Tech convention, it's wonderful for tree building",,,,http://play.google.com/console/developers/8264880723452882397/app/4972259123017277510/user-feedback/review-details?reviewId=753647ae-a253-4ebc-8d6d-fa2aa441e453&corpus=PUBLIC_REVIEWS
org.familysearch.mobile,41531.0,4.7.8,en,o1q,2024-01-27T23:20:31Z,1706397631515,2024-01-27T23:20:31Z,1706397631515,5,,I just found out one of my sweet friends is my 9th cousin!,,,,http://play.google.com/console/developers/8264880723452882397/app/4972259123017277510/user-feedback/review-details?reviewId=a1fec752-f68c-437b-840a-e1fc09321d4b&corpus=PUBLIC_REVIEWS
org.familysearch.mobile,41669.0,4.8.2,en,a7y18lte,2024-02-13T16:09:36Z,1707840576462,2024-02-13T16:09:36Z,1707840576462,4,,Love family search have uses it for 10 years or so. Have meet lots of my cousins there,,,,http://play.google.com/console/developers/8264880723452882397/app/4972259123017277510/user-feedback/review-details?reviewId=f1eb0821-8fdf-45cf-801d-c0483a97d56d&corpus=PUBLIC_REVIEWS
org.familysearch.mobile,41594.0,4.7.10,en,OnePlusN10TMO,2024-02-20T21:15:24Z,1708463724953,2024-02-20T21:15:24Z,1708463724953,5,,Great free family tree builder. Meeting cousins I never knew I had 🤗. And many more out there to meet.,,,,http://play.google.com/console/developers/8264880723452882397/app/4972259123017277510/user-feedback/review-details?reviewId=81cc4e05-9d63-46b4-8d66-8a2684c730d9&corpus=PUBLIC_REVIEWS
org.familysearch.mobile,41696.0,4.8.5,en,denver,2024-03-23T02:59:03Z,1711162743692,2024-03-23T02:59:03Z,1711162743692,5,,I HAVE A BROTHER!!!,,,,http://play.google.com/console/developers/8264880723452882397/app/4972259123017277510/user-feedback/review-details?reviewId=93443991-5338-454a-8277-8d10d0657cdd&corpus=PUBLIC_REVIEWS
org.familysearch.mobile,41831.0,4.8.8,en,gtasliteltevzw,2024-04-29T05:54:45Z,1714370085555,2024-04-29T05:55:05Z,1714370105948,5,,"I was always one of those people who believed that all the family history possible had been done in our family until the millennium. Thanks to this app, I no longer believe that. I've found a 3rd great grand uncle while reading the original hand written autobiography which had been transcribed incorrectly. There was Uncle George who was also overlooked on the first census because his father, also George, was living out of town, and everyone assumed the age was written incorrectly.",,,,http://play.google.com/console/developers/8264880723452882397/app/4972259123017277510/user-feedback/review-details?reviewId=21668f58-18e7-45c7-b68d-338032c741cb&corpus=PUBLIC_REVIEWS
